,PLAYER,TEAM,AGE,HEIGHT,WEIGHT,COLLEGE,COUNTRY,DRAFT YEAR,DRAFT ROUND,DRAFT NUMBER,GP,PTS,REB,AST,NETRTG,OREB%,DREB%,USG%,TS%,AST%
270,Kevin Seraphin,IND,27,82.00,278,Le Moyne,France,2010,1,17,49,4.7,2.9,0.5,-9.9,0.079,0.202,0.189,0.559,0.069
271,Kevon Looney,GSW,21,81.00,220,UCLA,USA,2015,1,30,53,2.5,2.3,0.5,0.2,0.107,0.189,0.133,0.553,0.094
272,Khris Middleton,MIL,25,80.00,234,Texas A&M,USA,2012,2,39,29,14.7,4.2,3.4,5.7,0.015,0.153,0.232,0.57,0.175
273,Klay Thompson,GSW,27,79.00,215,Washington State,USA,2011,1,11,78,22.3,3.7,2.1,14.7,0.022,0.091,0.262,0.592,0.09
274,Kosta Koufos,SAC,28,84.00,265,Ohio State,USA,2008,1,23,71,6.6,5.7,0.7,-5.7,0.095,0.223,0.154,0.56,0.053
275,Kris Dunn,MIN,23,76.00,205,Providence,USA,2016,1,5,78,3.8,2.1,2.4,-2.8,0.021,0.131,0.142,0.432,0.2
276,Kris Humphries,ATL,32,81.00,235,Minnesota,USA,2004,1,14,56,4.6,3.7,0.5,-4.4,0.095,0.245,0.18,0.514,0.07
277,Kristaps Porzingis,NYK,21,87.00,240,None,Latvia,2015,1,4,66,18.1,7.2,1.5,-3.1,0.056,0.177,0.244,0.546,0.073
278,Kyle Anderson,SAS,23,81.00,230,UCLA,USA,2014,1,30,72,3.4,2.9,1.3,10.5,0.038,0.187,0.122,0.525,0.126
279,Kyle Korver,CLE,36,79.00,212,Creighton,USA,2003,2,51,67,10.1,2.8,1.6,-4.9,0.005,0.114,0.151,0.635,0.093
280,Kyle Lowry,TOR,31,72.00,205,Villanova,USA,2006,1,24,60,22.4,4.8,7,8.2,0.024,0.121,0.249,0.623,0.293
281,Kyle O'Quinn,NYK,27,82.00,250,Norfolk State,USA,2012,2,49,79,6.3,5.6,1.5,-6.8,0.138,0.25,0.186,0.552,0.149
282,Kyle Singler,OKC,29,80.00,228,Duke,USA,2011,2,33,32,2.8,1.5,0.3,0.8,0.022,0.123,0.113,0.486,0.034
283,Kyle Wiltjer,HOU,24,82.00,240,Gonzaga,Canada,Undrafted,Undrafted,Undrafted,14,0.9,0.7,0.1,-35.9,0.095,0.154,0.187,0.437,0.069
284,Kyrie Irving,CLE,25,75.00,193,Duke,Australia,2011,1,1,72,25.2,3.2,5.8,5.1,0.023,0.075,0.302,0.58,0.278
285,LaMarcus Aldridge,SAS,31,83.00,260,Texas,USA,2006,1,2,72,17.3,7.3,1.9,6.1,0.084,0.171,0.249,0.532,0.1
286,Lamar Patterson,ATL,25,77.00,225,Pittsburgh,USA,2014,2,48,5,1.8,1.4,1.2,16.8,0.027,0.133,0.234,0.276,0.25
287,Lance Stephenson,IND,26,77.00,230,Cincinnati,USA,2010,2,40,18,6.8,2.9,3.3,1.6,0.012,0.149,0.185,0.485,0.254
288,Lance Thomas,NYK,29,80.00,235,Duke,USA,Undrafted,Undrafted,Undrafted,46,6,3.1,0.8,-9.7,0.035,0.123,0.132,0.516,0.053
289,Langston Galloway,SAC,25,74.00,200,Saint Joseph's,USA,Undrafted,Undrafted,Undrafted,74,7.9,2.1,1.3,-1.5,0.019,0.094,0.185,0.51,0.098
290,Larry Nance Jr.,LAL,24,81.00,230,Wyoming,USA,2015,1,27,63,7.1,5.9,1.5,-5,0.089,0.204,0.134,0.567,0.096
291,Larry Sanders,CLE,28,83.00,230,Virginia Commonwealth,USA,2010,1,15,5,0.8,0.8,0,-7.2,0.375,0.111,0.224,0.41,0
292,Lavoy Allen,IND,28,81.00,260,Temple,USA,2011,2,50,61,2.9,3.6,0.9,-6.3,0.133,0.154,0.106,0.485,0.093
293,LeBron James,CLE,32,80.00,250,None,USA,2003,1,1,74,26.4,8.6,8.7,7.7,0.04,0.209,0.297,0.619,0.388
294,Leandro Barbosa,PHX,34,75.00,194,None,Brazil,2003,1,28,67,6.3,1.6,1.2,-1.8,0.018,0.106,0.207,0.509,0.128
295,Lou Williams,HOU,30,73.00,175,None,USA,2005,2,45,81,17.5,2.5,3,-0.4,0.014,0.096,0.283,0.593,0.193
296,Luc Mbah a Moute,LAC,30,80.00,230,UCLA,Cameroon,2008,2,37,80,6.1,2.1,0.5,10.3,0.029,0.075,0.117,0.581,0.029
297,Lucas Nogueira,TOR,24,84.00,220,None,Brazil,2013,1,16,57,4.4,4.3,0.7,9.8,0.084,0.158,0.095,0.682,0.053
298,Luis Scola,BKN,37,81.00,241,None,Argentina,2002,2,55,36,5.1,3.9,1,-8,0.114,0.213,0.185,0.55,0.124
299,Luke Babbitt,MIA,28,81.00,225,Nevada,USA,2010,1,16,68,4.8,2.1,0.5,1.8,0.013,0.132,0.133,0.563,0.049
300,Luol Deng,LAL,32,81.00,220,Duke,South Sudan,2004,1,7,56,7.6,5.3,1.3,-6.4,0.044,0.172,0.143,0.47,0.073
301,Malachi Richardson,SAC,21,78.00,205,Syracuse,USA,2016,1,22,22,3.6,1,0.5,-4.2,0.018,0.106,0.196,0.517,0.092
302,Malcolm Brogdon,MIL,24,77.00,215,Virginia,USA,2016,2,36,75,10.2,2.8,4.2,2.7,0.028,0.097,0.186,0.555,0.239
303,Malcolm Delaney,ATL,28,75.00,190,Virginia Tech,USA,Undrafted,Undrafted,Undrafted,73,5.4,1.7,2.6,2.2,0.009,0.104,0.187,0.456,0.241
304,Malik Beasley,DEN,20,77.00,196,Florida State,USA,2016,1,19,22,3.8,0.8,0.5,15,0.036,0.072,0.222,0.536,0.098
305,Manny Harris,DAL,27,77.00,185,Michigan,USA,Undrafted,Undrafted,Undrafted,4,2,2.3,0.5,-51.1,0.091,0.353,0.294,0.239,0.143
306,Manu Ginobili,SAS,39,78.00,205,None,Argentina,1999,2,57,69,7.5,2.3,2.7,10.4,0.025,0.113,0.195,0.532,0.199
